"CODE","NAME","DURATION","DATES","APPLY"
"E - 11","Geographic Information Systems and Remote Sensing","2 Weeks","25 Feb – 08 Mar24 Jun – 05 July07 Oct – 18 Oct","%20Private%20Sector%20InvolvementApply"
"E - 12","Integrated Water Resources Management","3 Weeks","25 Feb – 15 Mar24 Jun – 12 July23 Sep – 11 Oct","Apply"
"E - 13","Clean Energy Supply Growth and Sustainability Policies, Regulations and Public-Private Partnership Opportunities","2 Weeks","25 Feb – 08 Mar24 Jun – 05 July07 Oct – 18 Oct","Apply"
"E - 14","Agriculture Co - Operatives Development","2 Weeks","22 Apr – 03 May19 Aug – 30 Aug04 Nov – 15 Nov","Apply"
"E - 15","Public-Private Partnership - Improving Performance ofIrrigation Services Provision","2 Weeks","25 Feb – 08 Mar24 Jun – 05 July07 Oct – 18 Oct","Apply"
"E - 16","Environmental Impact Assessment","3 Weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 17","Agriculture Research Management","3 Weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 18","Crops and Invasive Plants Management","3 Weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 19","Participatory Monitoring and Evaluation","3 Weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 20","Water Quality Assessment","2 Weeks","25 Feb – 08 Mar24 Jun – 05 July07 Oct – 18 Oct","Apply"
"E - 21","Fisheries and Marine Project Management","3 Weeks","22 Apr – 10 May12 Aug – 30 Aug04 Nov – 22 Nov","Apply"
"E - 22","Irrigation and Alternative Crop Production Management","3 weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 23","Water Demand Management","3 Weeks","25 Feb – 15 Mar24 Jun – 12 July07 Oct – 25 Oct","Apply"
"E - 24","Participatory Extension Approach and Rural Development Strategies","3 Weeks","06 May – 24 May26 Aug – 13 Sep11 Nov – 29 Nov","Apply"
"E - 25","Integrated Solid Waste Management","3 Weeks","21 Jan – 08 Feb05 Aug – 23 Aug04 Nov – 22 Nov","Apply"
