"CODE","NAME","DURATION","DATES","APPLY"
"IS - 11","Wireless Computer Networks and Server Management","1 Week","25 Feb – 01 Mar 24 Jun – 28 Jun23 Sep – 27 Sep","Apply"
"IS - 12","Registry and Electronic Records Management","2 Weeks","22 Apr – 03 May12 Aug – 23 Aug04 Nov – 15 Nov","Apply"
"IS - 13","Computer Networking and Information Systems Management","2 Weeks","06 May – 17 May26 Aug – 06 Sep11 Nov – 22 Nov","Apply"
"IS - 14","Research and Information Systems Management","2 Weeks","06 May – 17 May26 Aug – 06 Sep11 Nov – 22 Nov","Apply"
"IS - 15","Advanced Electronic Records Management","2 Weeks","22 Apr – 03 May12 Aug – 23 Aug 04 Nov – 15 Nov","Apply"
"IS - 16","AutoCAD 3D for Engineers and Architects","3 Weeks","25 Feb – 15 Mar 24 Jun – 12 July23 Sep – 11 Oct","Apply"
"IS - 17","Project Information Systems Management","1 Week","18 Feb – 22 Feb26 Aug – 30 Aug 04 Nov – 08 Nov","Apply"
"IS - 18","ICT for Education Management","2 Weeks","22 Apr – 03 May12 Aug – 23 Aug04 Nov – 15 Nov","Apply"
"IS - 19","Public-Private Partnership Project Mobilisation andAdvanced Project Modeling (Ms Project)","2 Weeks","18 Feb – 01 Mar26 Aug – 06 Sep 04 Nov – 15 Nov","Apply"
"IS - 20","Computer Forensics and Systems Networks Security","3 Weeks","06 May – 24 May 26 Aug – 13 Sep11 Nov – 29 Nov","%20Information%20Systems,%20%20DatabaseApply"
